run,method,iterations,runtime,tp,fn,fp,tn,accuracy,precision,recall,specificity,f1
run_01,PSO,10,31.0,17,9,0,88,0.9210526315789473,1.0,0.6538461538461539,1.0,0.7906976744186047
run_01,PSO,20,65.0,17,9,0,88,0.9210526315789473,1.0,0.6538461538461539,1.0,0.7906976744186047
run_01,PSO,30,102.0,17,9,0,88,0.9210526315789473,1.0,0.6538461538461539,1.0,0.7906976744186047
run_01,PSO,40,139.0,17,9,0,88,0.9210526315789473,1.0,0.6538461538461539,1.0,0.7906976744186047
run_01,PSO,50,168.0,17,9,0,88,0.9210526315789473,1.0,0.6538461538461539,1.0,0.7906976744186047
run_01,PSO,60,235.0,17,9,0,88,0.9210526315789473,1.0,0.6538461538461539,1.0,0.7906976744186047
run_01,PSO,70,274.0,17,9,0,88,0.9210526315789473,1.0,0.6538461538461539,1.0,0.7906976744186047
run_01,PSO,80,324.0,17,9,0,88,0.9210526315789473,1.0,0.6538461538461539,1.0,0.7906976744186047
run_01,PSO,90,373.0,17,9,0,88,0.9210526315789473,1.0,0.6538461538461539,1.0,0.7906976744186047
run_01,PSO,100,419.0,17,9,0,88,0.9210526315789473,1.0,0.6538461538461539,1.0,0.7906976744186047
run_01,DAPSO-4,10,19.0,22,4,9,79,0.8859649122807017,0.7096774193548387,0.8461538461538461,0.8977272727272727,0.7719298245614036
run_01,DAPSO-4,20,37.0,22,4,10,78,0.8771929824561403,0.6875,0.8461538461538461,0.8863636363636364,0.7586206896551724
run_01,DAPSO-4,30,52.0,21,5,8,80,0.8859649122807017,0.7241379310344828,0.8076923076923077,0.9090909090909091,0.7636363636363636
run_01,DAPSO-4,40,69.0,22,4,9,79,0.8859649122807017,0.7096774193548387,0.8461538461538461,0.8977272727272727,0.7719298245614036
run_01,DAPSO-4,50,99.0,22,4,8,80,0.8947368421052632,0.7333333333333333,0.8461538461538461,0.9090909090909091,0.7857142857142856
run_01,DAPSO-4,60,119.0,22,4,8,80,0.8947368421052632,0.7333333333333333,0.8461538461538461,0.9090909090909091,0.7857142857142856
run_01,DAPSO-4,70,143.0,22,4,8,80,0.8947368421052632,0.7333333333333333,0.8461538461538461,0.9090909090909091,0.7857142857142856
run_01,DAPSO-4,80,168.0,22,4,8,80,0.8947368421052632,0.7333333333333333,0.8461538461538461,0.9090909090909091,0.7857142857142856
run_01,DAPSO-4,90,194.0,22,4,8,80,0.8947368421052632,0.7333333333333333,0.8461538461538461,0.9090909090909091,0.7857142857142856
run_01,DAPSO-4,100,218.0,22,4,8,80,0.8947368421052632,0.7333333333333333,0.8461538461538461,0.9090909090909091,0.7857142857142856
run_01,DAPSO-10,10,14.0,22,4,9,79,0.8859649122807017,0.7096774193548387,0.8461538461538461,0.8977272727272727,0.7719298245614036
run_01,DAPSO-10,20,30.0,22,4,7,81,0.9035087719298246,0.7586206896551724,0.8461538461538461,0.9204545454545454,0.8
run_01,DAPSO-10,30,42.0,22,4,9,79,0.8859649122807017,0.7096774193548387,0.8461538461538461,0.8977272727272727,0.7719298245614036
run_01,DAPSO-10,40,63.0,22,4,8,80,0.8947368421052632,0.7333333333333333,0.8461538461538461,0.9090909090909091,0.7857142857142856
