method,iterations,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_mean,f1_std,accuracy_ci95,precision_ci95,recall_ci95,specificity_ci95,f1_ci95
DAPSO-10,10,0.8868421052631579,0.011286701207964194,0.7251271253774034,0.04322953650116876,0.8192307692307692,0.03166433085956016,0.9068181818181819,0.020608288649599158,0.7679273255901267,0.016522621027359734,0.008074019654540422,0.03092454747723987,0.022651297752753506,0.014742281605354773,0.011819571056358974
DAPSO-10,20,0.8912280701754385,0.016121694446889153,0.7304939129897416,0.04338704516176193,0.8346153846153846,0.025959559911944326,0.9079545454545455,0.020363151599569106,0.7783148711019745,0.027458857582207584,0.011532765458239393,0.031037222385342546,0.01857035045849892,0.014566921123710917,0.019642883401000354
DAPSO-10,30,0.8859649122807017,0.01894953420587093,0.7171250022070378,0.049449147884380935,0.8346153846153846,0.025959559911944326,0.9011363636363636,0.02515448138770299,0.7703421497655043,0.030080507578271833,0.013555680158754267,0.03537378943256192,0.01857035045849892,0.017994431976348778,0.021518298830675443
DAPSO-10,40,0.8824561403508773,0.017149565261538213,0.7022088475731413,0.044701999329879664,0.85,0.028379414898946978,0.8920454545454545,0.024105912994995912,0.7680318409613509,0.027047187589846797,0.012268059943925689,0.03197788393051667,0.020301410434855036,0.017244331335262184,0.019348392428991605
DAPSO-10,50,0.8824561403508773,0.017149565261538213,0.7022088475731413,0.044701999329879664,0.85,0.028379414898946978,0.8920454545454545,0.024105912994995912,0.7680318409613509,0.027047187589846797,0.012268059943925689,0.03197788393051667,0.020301410434855036,0.017244331335262184,0.019348392428991605
DAPSO-10,60,0.8763157894736843,0.024965349948697726,0.6883703232868973,0.05880461969613294,0.8538461538461538,0.03033887068256211,0.8829545454545455,0.03514775972624863,0.7604731136345594,0.03577709262555563,0.017859135495323607,0.04206629080154338,0.021703120661572834,0.025143192648933645,0.02559339028459604
DAPSO-10,70,0.8675438596491227,0.0195928252254397,0.668691314864841,0.04657374995048195,0.8461538461538461,0.03140371465106636,0.8738636363636363,0.030981977343452295,0.7454591256093548,0.024646919226385976,0.014015862832140055,0.033316853663185535,0.022464864148204297,0.022163171452704744,0.017631343879050423
DAPSO-10,80,0.8675438596491227,0.0195928252254397,0.668691314864841,0.04657374995048195,0.8461538461538461,0.03140371465106636,0.8738636363636363,0.030981977343452295,0.7454591256093548,0.024646919226385976,0.014015862832140055,0.033316853663185535,0.022464864148204297,0.022163171452704744,0.017631343879050423
DAPSO-10,90,0.8675438596491227,0.0195928252254397,0.668691314864841,0.04657374995048195,0.8461538461538461,0.03140371465106636,0.8738636363636363,0.030981977343452295,0.7454591256093548,0.024646919226385976,0.014015862832140055,0.033316853663185535,0.022464864148204297,0.022163171452704744,0.017631343879050423
DAPSO-10,100,0.8675438596491227,0.0195928252254397,0.668691314864841,0.04657374995048195,0.8461538461538461,0.03140371465106636,0.8738636363636363,0.030981977343452295,0.7454591256093548,0.024646919226385976,0.014015862832140055,0.033316853663185535,0.022464864148204297,0.022163171452704744,0.017631343879050423
DAPSO-4,10,0.8807017543859649,0.0073971407255400525,0.7049460084985669,0.021994331924365937,0.823076923076923,0.03243361702736798,0.8977272727272727,0.013121597027036932,0.7588038890537531,0.013775660893612108,0.005291595702318096,0.015733797233908307,0.023201611925548614,0.009386625050417614,0.009854514154306198
DAPSO-4,20,0.8736842105263157,0.022724396757573602,0.689152344561059,0.05747584777769256,0.8307692307692308,0.03243361702736798,0.8863636363636364,0.0343007012808235,0.7513405116040301,0.030598544340270838,0.01625605415413653,0.04111574463325118,0.023201611925548614,0.02453724354025334,0.02188888000590872
DAPSO-4,30,0.8780701754385964,0.031342519756401455,0.7011572602715539,0.07252017043983333,0.8346153846153846,0.025959559911944347,0.8909090909090909,0.0419070202604222,0.7598158339760306,0.04444920230382946,0.022421087957696706,0.05187780474499235,0.01857035045849892,0.029978476351187385,0.03179704383212737
DAPSO-4,40,0.8833333333333334,0.016041949385199063,0.7065427635644543,0.041276274564362114,0.8423076923076923,0.028379414898946978,0.8954545454545455,0.021956631433620342,0.7676071951441253,0.02605518446847351,0.011475719277643764,0.02952726806161093,0.020301410434855036,0.01570682792749564,0.01863875614539072
DAPSO-4,50,0.8824561403508773,0.017149565261538213,0.7022088475731413,0.044701999329879664,0.85,0.028379414898946978,0.8920454545454545,0.024105912994995912,0.7680318409613509,0.027047187589846797,0.012268059943925689,0.03197788393051667,0.020301410434855036,0.017244331335262184,0.019348392428991605
DAPSO-4,60,0.8763157894736843,0.024965349948697726,0.6883703232868973,0.05880461969613294,0.8538461538461538,0.03033887068256211,0.8829545454545455,0.03514775972624863,0.7604731136345594,0.03577709262555563,0.017859135495323607,0.04206629080154338,0.021703120661572834,0.025143192648933645,0.02559339028459604
DAPSO-4,70,0.8675438596491227,0.0195928252254397,0.668691314864841,0.04657374995048195,0.8461538461538461,0.03140371465106636,0.8738636363636363,0.030981977343452295,0.7454591256093548,0.024646919226385976,0.014015862832140055,0.033316853663185535,0.022464864148204297,0.022163171452704744,0.017631343879050423
DAPSO-4,80,0.8675438596491227,0.0195928252254397,0.668691314864841,0.04657374995048195,0.8461538461538461,0.03140371465106636,0.8738636363636363,0.030981977343452295,0.7454591256093548,0.024646919226385976,0.014015862832140055,0.033316853663185535,0.022464864148204297,0.022163171452704744,0.017631343879050423
DAPSO-4,90,0.8675438596491227,0.0195928252254397,0.668691314864841,0.04657374995048195,0.8461538461538461,0.03140371465106636,0.8738636363636363,0.030981977343452295,0.7454591256093548,0.024646919226385976,0.014015862832140055,0.033316853663185535,0.022464864148204297,0.022163171452704744,0.017631343879050423
DAPSO-4,100,0.8675438596491227,0.0195928252254397,0.668691314864841,0.04657374995048195,0.8461538461538461,0.03140371465106636,0.8738636363636363,0.030981977343452295,0.7454591256093548,0.024646919226385976,0.014015862832140055,0.033316853663185535,0.022464864148204297,0.022163171452704744,0.017631343879050423
PSO,10,0.8614035087719298,0.05404217568256336,0.7481947080705735,0.18665224353635487,0.7,0.10540925533894602,0.9090909090909092,0.08384827129234342,0.7039156301836227,0.08061788223299894,0.03865944358722387,0.13352297142527284,0.07540523875803305,0.059981439921162664,0.057670558798646965
PSO,20,0.8614035087719298,0.05404217568256336,0.7481947080705735,0.18665224353635487,0.7,0.10540925533894602,0.9090909090909092,0.08384827129234342,0.7039156301836227,0.08061788223299894,0.03865944358722387,0.13352297142527284,0.07540523875803305,0.059981439921162664,0.057670558798646965
PSO,30,0.8614035087719298,0.05404217568256336,0.7481947080705735,0.18665224353635487,0.7,0.10540925533894602,0.9090909090909092,0.08384827129234342,0.7039156301836227,0.08061788223299894,0.03865944358722387,0.13352297142527284,0.07540523875803305,0.059981439921162664,0.057670558798646965
PSO,40,0.8614035087719298,0.05404217568256336,0.7481947080705735,0.18665224353635487,0.7,0.10540925533894602,0.9090909090909092,0.08384827129234342,0.7039156301836227,0.08061788223299894,0.03865944358722387,0.13352297142527284,0.07540523875803305,0.059981439921162664,0.057670558798646965
PSO,50,0.8614035087719298,0.05404217568256336,0.7481947080705735,0.18665224353635487,0.7,0.10540925533894602,0.9090909090909092,0.08384827129234342,0.7039156301836227,0.08061788223299894,0.03865944358722387,0.13352297142527284,0.07540523875803305,0.059981439921162664,0.057670558798646965
PSO,60,0.8614035087719298,0.05404217568256336,0.7481947080705735,0.18665224353635487,0.7,0.10540925533894602,0.9090909090909092,0.08384827129234342,0.7039156301836227,0.08061788223299894,0.03865944358722387,0.13352297142527284,0.07540523875803305,0.059981439921162664,0.057670558798646965
PSO,70,0.8614035087719298,0.05404217568256336,0.7481947080705735,0.18665224353635487,0.7,0.10540925533894602,0.9090909090909092,0.08384827129234342,0.7039156301836227,0.08061788223299894,0.03865944358722387,0.13352297142527284,0.07540523875803305,0.059981439921162664,0.057670558798646965
PSO,80,0.8614035087719298,0.05404217568256336,0.7481947080705735,0.18665224353635487,0.7,0.10540925533894602,0.9090909090909092,0.08384827129234342,0.7039156301836227,0.08061788223299894,0.03865944358722387,0.13352297142527284,0.07540523875803305,0.059981439921162664,0.057670558798646965
PSO,90,0.8614035087719298,0.05404217568256336,0.7481947080705735,0.18665224353635487,0.7,0.10540925533894602,0.9090909090909092,0.08384827129234342,0.7039156301836227,0.08061788223299894,0.03865944358722387,0.13352297142527284,0.07540523875803305,0.059981439921162664,0.057670558798646965
PSO,100,0.8614035087719298,0.05404217568256336,0.7481947080705735,0.18665224353635487,0.7,0.10540925533894602,0.9090909090909092,0.08384827129234342,0.7039156301836227,0.08061788223299894,0.03865944358722387,0.13352297142527284,0.07540523875803305,0.059981439921162664,0.057670558798646965
