method,iterations,n,mean_runtime,std_runtime,median_runtime,min_runtime,max_runtime,cv_runtime,ci95_runtime
DAPSO-10,10,10,16.0,3.74165738677394,14.5,13.0,24.0,0.23385358667337125,2.6766204513371936
DAPSO-10,20,10,29.5,5.233439489369194,29.5,24.0,41.0,0.17740472845319302,3.743777080605156
DAPSO-10,30,10,44.7,8.870049480007301,42.0,36.0,62.0,0.1984351114095593,6.345251151664244
DAPSO-10,40,10,67.2,8.024961059095551,67.5,56.0,84.0,0.11941906337939807,5.740711313624472
DAPSO-10,50,10,85.5,12.267844146385297,84.0,69.0,113.0,0.1434835572676643,8.77588703126656
DAPSO-10,60,10,98.9,16.441478711546058,95.5,79.0,125.0,0.16624346523302383,11.76152534037667
DAPSO-10,70,10,112.5,15.770929656244816,106.0,98.0,148.0,0.1401860413888428,11.281843442886956
DAPSO-10,80,10,126.4,11.413442367080435,127.0,113.0,144.0,0.09029622125854775,8.164684817982662
DAPSO-10,90,10,139.6,12.729667884294717,133.5,126.0,159.0,0.0911867326955209,9.106255831512897
DAPSO-10,100,10,163.6,24.028686559564132,150.5,144.0,216.0,0.14687461222227466,17.189086871353954
DAPSO-4,10,10,24.4,6.1137368096588665,21.5,19.0,36.0,0.25056298400241256,4.3735038479659165
DAPSO-4,20,10,40.1,9.550450832872292,38.0,31.0,58.0,0.23816585618135389,6.831980958255691
DAPSO-4,30,10,60.0,15.297058540778355,55.0,47.0,93.0,0.25495097567963926,10.942856467906573
DAPSO-4,40,10,78.7,15.282888034225293,74.5,62.0,109.0,0.19419171580972416,10.932719498182994
DAPSO-4,50,10,115.0,26.48689403375857,105.5,88.0,172.0,0.23032081768485713,18.947582564283177
DAPSO-4,60,10,134.5,28.86077692031947,127.5,102.0,191.0,0.21457826706557226,20.645756081107134
DAPSO-4,70,10,147.9,24.519606667137037,140.0,128.0,212.0,0.16578503493669394,17.54026996057721
DAPSO-4,80,10,165.7,14.468740250776653,163.5,145.0,188.0,0.08731889107288264,10.35031325882703
DAPSO-4,90,10,784.3,1904.6874955108924,186.0,164.0,6205.0,2.4285190558598657,1362.531353595226
DAPSO-4,100,10,214.6,39.75256805121735,200.0,184.0,318.0,0.18524029846792803,28.437274084787916
PSO,10,10,36.7,4.498147766951785,36.0,31.0,47.0,0.12256533424936743,3.2177810690841007
PSO,20,10,77.6,11.52003086415619,72.5,65.0,99.0,0.14845400598139422,8.240933635460905
PSO,30,10,116.8,17.75011737050397,111.0,100.0,154.0,0.15197018296664358,12.697669042458726
PSO,40,10,158.2,25.28855692029719,149.5,137.0,208.0,0.15985181365548162,18.09034383450931
PSO,50,10,201.8,31.81474151675254,190.5,168.0,255.0,0.15765481425546352,22.75889505510494
PSO,60,10,272.6,43.423495944016295,256.5,231.0,352.0,0.15929382224510746,31.063297704155573
PSO,70,10,300.4,63.08583218300463,276.0,253.0,430.0,0.21000609914448945,45.12888571987739
PSO,80,10,326.0,24.06472753037342,322.5,293.0,376.0,0.07381818260850742,17.214869028719594
PSO,90,10,365.4,26.85433960378763,364.5,328.0,420.0,0.07349299289487583,19.210437290365125
PSO,100,10,403.1,27.993848530624653,396.0,365.0,452.0,0.06944641163637968,20.025592870572602
