run,iterations,PSO,DAPSO-4,DAPSO-10,speedup_dapso4,speedup_dapso10,dapso10_vs_dapso4
run_01,10,31.0,19.0,14.0,1.631578947368421,2.2142857142857144,1.3571428571428572
run_01,20,65.0,37.0,30.0,1.7567567567567568,2.1666666666666665,1.2333333333333334
run_01,30,102.0,52.0,42.0,1.9615384615384615,2.4285714285714284,1.2380952380952381
run_01,40,139.0,69.0,63.0,2.0144927536231885,2.2063492063492065,1.0952380952380953
run_01,50,168.0,99.0,80.0,1.696969696969697,2.1,1.2375
run_01,60,235.0,119.0,101.0,1.9747899159663866,2.3267326732673266,1.1782178217821782
run_01,70,274.0,143.0,122.0,1.916083916083916,2.2459016393442623,1.1721311475409837
run_01,80,324.0,168.0,139.0,1.9285714285714286,2.3309352517985613,1.20863309352518
run_01,90,373.0,194.0,159.0,1.922680412371134,2.3459119496855347,1.220125786163522
run_01,100,419.0,218.0,176.0,1.9220183486238531,2.3806818181818183,1.2386363636363635
run_02,10,37.0,25.0,17.0,1.48,2.176470588235294,1.4705882352941178
run_02,20,85.0,41.0,30.0,2.073170731707317,2.8333333333333335,1.3666666666666667
run_02,30,122.0,62.0,45.0,1.967741935483871,2.7111111111111112,1.3777777777777778
run_02,40,158.0,75.0,67.0,2.1066666666666665,2.3582089552238807,1.1194029850746268
run_02,50,192.0,105.0,84.0,1.8285714285714285,2.2857142857142856,1.25
run_02,60,254.0,136.0,122.0,1.8676470588235294,2.081967213114754,1.1147540983606556
run_02,70,278.0,150.0,117.0,1.8533333333333333,2.376068376068376,1.2820512820512822
run_02,80,344.0,188.0,144.0,1.8297872340425532,2.388888888888889,1.3055555555555556
run_02,90,386.0,200.0,157.0,1.93,2.4585987261146496,1.2738853503184713
run_02,100,430.0,230.0,172.0,1.8695652173913044,2.5,1.3372093023255813
run_03,10,37.0,24.0,16.0,1.5416666666666667,2.3125,1.5
run_03,20,79.0,40.0,30.0,1.975,2.6333333333333333,1.3333333333333333
run_03,30,116.0,55.0,42.0,2.109090909090909,2.761904761904762,1.3095238095238095
run_03,40,153.0,76.0,73.0,2.013157894736842,2.095890410958904,1.0410958904109588
run_03,50,234.0,144.0,94.0,1.625,2.4893617021276597,1.5319148936170213
run_03,60,335.0,176.0,113.0,1.9034090909090908,2.9646017699115044,1.5575221238938053
