iterations,n,speedup_dapso4_mean,speedup_dapso4_std,speedup_dapso4_ci95,speedup_dapso10_mean,speedup_dapso10_std,speedup_dapso10_ci95,dapso10_vs_dapso4_mean,dapso10_vs_dapso4_std,dapso10_vs_dapso4_ci95
10,10,1.54168098275993,0.1754436323316144,0.12550481399382432,2.342679110105581,0.2599792508756484,0.18597795251827137,1.5230295195001076,0.09004013009578343,0.06441082887688672
20,10,1.9711392873473836,0.2036181445419801,0.14565964587535452,2.6491820580596865,0.22317809956413764,0.1596519947805766,1.3492154040240667,0.10102670499654431,0.07227015110491121
30,10,1.984573211044864,0.17911797549240857,0.12813328074873803,2.6358310260825295,0.18820429890835,0.13463324495405032,1.3324380718024786,0.08174390672770633,0.05847606819720765
40,10,2.0238305983437295,0.11774357904805645,0.08422868240359976,2.3581452427339182,0.28100699345972485,0.20102029339238345,1.1692513990984348,0.1652021432273171,0.11817849403582724
50,10,1.781076740069981,0.1659632241705531,0.11872293854456,2.3632419375534197,0.20137990335497163,0.14405850458504052,1.3330944826933135,0.1230639192647348,0.08803462451961783
60,10,2.063311898115535,0.32965477620928846,0.2358208207415642,2.7939126263894893,0.4685689324525759,0.3351940217447745,1.357912429827003,0.1483892667095294,0.10615128670989998
70,10,2.0250091873205878,0.18884999056639867,0.13509514494075142,2.6605593551948097,0.2918086190306736,0.20874731084007556,1.3131674766794805,0.06677009835267798,0.04776445096772066
80,10,1.9708713456147489,0.07869840742580222,0.056297449239516816,2.586392967106393,0.15122857298790987,0.10818240406425395,1.311822471634017,0.04125976417116864,0.029515457237819995
90,10,1.7867316166834886,0.6062684159009076,0.43369829817564054,2.631947792713958,0.2690641104289556,0.1924768695393389,6.086605196591987,15.16471438690065,10.848183163467708
100,10,1.907550381978718,0.17820307575806457,0.12747880090552088,2.4880934148128637,0.1978072858213011,0.14150280796000206,1.3085617281954547,0.07902041287596329,0.056527798062043895
