run,method,dataset_size,runtime_s
run_01,DAPSO,500,45.0
run_01,PSO,500,62.0
run_01,DAPSO,1000,69.0
run_01,PSO,1000,136.0
run_01,DAPSO,1500,102.0
run_01,PSO,1500,208.0
run_01,DAPSO,2000,133.0
run_01,PSO,2000,281.0
run_01,DAPSO,2500,166.0
run_01,PSO,2500,349.0
run_01,DAPSO,3000,198.0
run_01,PSO,3000,425.0
run_01,DAPSO,3500,234.0
run_01,PSO,3500,492.0
run_01,DAPSO,4000,266.0
run_01,PSO,4000,564.0
run_01,DAPSO,4500,304.0
run_01,PSO,4500,652.0
run_01,DAPSO,5000,336.0
run_01,PSO,5000,721.0
run_02,DAPSO,500,46.0
run_02,PSO,500,61.0
run_02,DAPSO,1000,72.0
run_02,PSO,1000,142.0
run_02,DAPSO,1500,107.0
run_02,PSO,1500,212.0
run_02,DAPSO,2000,138.0
run_02,PSO,2000,292.0
run_02,DAPSO,2500,167.0
run_02,PSO,2500,353.0
run_02,DAPSO,3000,204.0
run_02,PSO,3000,439.0
run_02,DAPSO,3500,232.0
run_02,PSO,3500,493.0
run_02,DAPSO,4000,275.0
run_02,PSO,4000,563.0
run_02,DAPSO,4500,302.0
run_02,PSO,4500,655.0
run_02,DAPSO,5000,351.0
run_02,PSO,5000,734.0
run_03,DAPSO,500,47.0
run_03,PSO,500,59.0
run_03,DAPSO,1000,68.0
run_03,PSO,1000,137.0
run_03,DAPSO,1500,97.0
run_03,PSO,1500,204.0
run_03,DAPSO,2000,138.0
run_03,PSO,2000,261.0
run_03,DAPSO,2500,161.0
run_03,PSO,2500,337.0
run_03,DAPSO,3000,217.0
run_03,PSO,3000,421.0
run_03,DAPSO,3500,232.0
run_03,PSO,3500,489.0
run_03,DAPSO,4000,248.0
run_03,PSO,4000,532.0
run_03,DAPSO,4500,288.0
run_03,PSO,4500,598.0
run_03,DAPSO,5000,311.0
run_03,PSO,5000,672.0
run_04,DAPSO,500,41.0
run_04,PSO,500,55.0
run_04,DAPSO,1000,62.0
run_04,PSO,1000,124.0
run_04,DAPSO,1500,95.0
run_04,PSO,1500,195.0
run_04,DAPSO,2000,116.0
run_04,PSO,2000,266.0
run_04,DAPSO,2500,144.0
run_04,PSO,2500,307.0
run_04,DAPSO,3000,172.0
run_04,PSO,3000,378.0
run_04,DAPSO,3500,204.0
run_04,PSO,3500,442.0
run_04,DAPSO,4000,232.0
run_04,PSO,4000,507.0
run_04,DAPSO,4500,263.0
run_04,PSO,4500,556.0
run_04,DAPSO,5000,275.0
run_04,PSO,5000,633.0
run_05,DAPSO,500,37.0
run_05,PSO,500,50.0
run_05,DAPSO,1000,57.0
run_05,PSO,1000,114.0
run_05,DAPSO,1500,82.0
run_05,PSO,1500,169.0
run_05,DAPSO,2000,105.0
run_05,PSO,2000,223.0
run_05,DAPSO,2500,126.0
run_05,PSO,2500,276.0
run_05,DAPSO,3000,152.0
run_05,PSO,3000,331.0
run_05,DAPSO,3500,178.0
run_05,PSO,3500,397.0
run_05,DAPSO,4000,204.0
run_05,PSO,4000,446.0
run_05,DAPSO,4500,231.0
run_05,PSO,4500,496.0
run_05,DAPSO,5000,254.0
run_05,PSO,5000,560.0
run_06,DAPSO,500,37.0
run_06,PSO,500,49.0
