method,dataset_size,n,mean_runtime,std_runtime,median_runtime,min_runtime,max_runtime,cv_runtime,ci95_runtime
DAPSO,500,10,39.6,4.718756898449707,37.0,35.0,47.0,0.11916052773862895,3.375595334817336
DAPSO,1000,10,60.8,6.511528238439879,57.0,54.0,72.0,0.10709750392170854,4.658066693673157
DAPSO,1500,10,88.6,10.627009613872252,82.5,78.0,107.0,0.11994367510013829,7.6021047169078955
DAPSO,2000,10,115.7,14.847745807211124,108.5,101.0,138.0,0.1283296958272353,10.621437501016828
DAPSO,2500,10,141.4,16.93910662736773,133.0,126.0,167.0,0.11979566214545778,12.117506906554489
DAPSO,3000,10,173.4,24.00555491270024,162.5,152.0,217.0,0.13844033975028974,17.172539488023816
DAPSO,3500,10,199.3,24.35866261608885,187.0,176.0,234.0,0.12222108688454013,17.425137522187907
DAPSO,4000,10,226.7,27.36603734558586,213.5,199.0,275.0,0.12071476552971266,19.576483803720844
DAPSO,4500,10,257.9,29.61774993329359,244.0,229.0,304.0,0.11484199276189838,21.18726195355789
DAPSO,5000,10,285.1,35.1613740093049,272.5,253.0,351.0,0.12332996846476639,25.15293172033754
PSO,500,10,53.5,5.2967495273569005,50.5,49.0,62.0,0.0990046640627458,3.7890663534957825
PSO,1000,10,122.3,11.851394667107975,117.0,109.0,142.0,0.09690429000088287,8.477977020285183
PSO,1500,10,186.0,19.6977156035922,184.5,163.0,212.0,0.10590169679350646,14.090896888519424
PSO,2000,10,248.7,29.170190263349358,245.0,215.0,292.0,0.11729067255066088,20.867097052837423
PSO,2500,10,307.4,34.51634073562516,296.5,265.0,353.0,0.11228477792981509,24.691502713441558
PSO,3000,10,374.5,46.06336215837196,362.5,321.0,439.0,0.12299963193156731,32.95174423138576
PSO,3500,10,438.0,47.109800820353016,425.5,381.0,493.0,0.1075566228775183,33.70032135488968
PSO,4000,10,496.1,52.777204675250964,486.5,433.0,564.0,0.10638420615853852,37.75453784131316
PSO,4500,10,562.4,66.46168486846807,541.5,487.0,655.0,0.1181751153422263,47.54382525190219
PSO,5000,10,629.3,71.82548294303352,610.5,550.0,734.0,0.11413552032899019,51.380855246677704
