dataset_size,n,mean_pso,mean_dapso,mean_difference_pso_minus_dapso,paired_t_statistic,paired_t_pvalue,wilcoxon_statistic,wilcoxon_pvalue,cohen_dz,paired_t_pvalue_holm,wilcoxon_pvalue_holm
500,10,53.5,39.6,13.9,28.84449314321531,1.762616500378421e-10,55.0,0.0009765625,9.121429628566977,1.586354850340579e-09,0.009765625
1000,10,122.3,60.8,61.5,35.474210256828215,2.779485692676049e-11,55.0,0.0009765625,11.217930260728386,2.7794856926760487e-10,0.009765625
1500,10,186.0,88.6,97.4,26.471909317773637,3.785286643461294e-10,55.0,0.0009765625,8.371152745759874,3.0282293147690354e-09,0.009765625
2000,10,248.7,115.7,133.0,21.825774955856627,2.0982439081345433e-09,55.0,0.0009765625,6.901916055876791,4.5400418575692756e-09,0.009765625
2500,10,307.4,141.4,166.0,24.010109446825425,9.010895369363542e-10,55.0,0.0009765625,7.59266327218938,4.136872349343571e-09,0.009765625
3000,10,374.5,173.4,201.1,22.646390014342373,1.5133472858564251e-09,55.0,0.0009765625,7.161417322581515,4.5400418575692756e-09,0.009765625
3500,10,438.0,199.3,238.7,25.82305855841636,4.720096123400346e-10,55.0,0.0009765625,8.165968119649992,3.1035070923057815e-09,0.009765625
4000,10,496.1,226.7,269.4,26.005562517827457,4.4335815604368305e-10,55.0,0.0009765625,8.223680939023792,3.1035070923057815e-09,0.009765625
4500,10,562.4,257.9,304.5,21.648074291859498,2.2556227561410085e-09,55.0,0.0009765625,6.8457221718812695,4.5400418575692756e-09,0.009765625
5000,10,629.3,285.1,344.2,24.242108426943965,8.273744698687142e-10,55.0,0.0009765625,7.666027791390452,4.136872349343571e-09,0.009765625
