run,dataset_size,DAPSO,PSO,speedup
run_01,500,45.0,62.0,1.3777777777777778
run_01,1000,69.0,136.0,1.9710144927536233
run_01,1500,102.0,208.0,2.0392156862745097
run_01,2000,133.0,281.0,2.112781954887218
run_01,2500,166.0,349.0,2.102409638554217
run_01,3000,198.0,425.0,2.1464646464646466
run_01,3500,234.0,492.0,2.1025641025641026
run_01,4000,266.0,564.0,2.1203007518796992
run_01,4500,304.0,652.0,2.1447368421052633
run_01,5000,336.0,721.0,2.1458333333333335
run_02,500,46.0,61.0,1.326086956521739
run_02,1000,72.0,142.0,1.9722222222222223
run_02,1500,107.0,212.0,1.9813084112149533
run_02,2000,138.0,292.0,2.1159420289855073
run_02,2500,167.0,353.0,2.1137724550898205
run_02,3000,204.0,439.0,2.1519607843137254
run_02,3500,232.0,493.0,2.125
run_02,4000,275.0,563.0,2.0472727272727274
run_02,4500,302.0,655.0,2.1688741721854305
run_02,5000,351.0,734.0,2.091168091168091
run_03,500,47.0,59.0,1.2553191489361701
run_03,1000,68.0,137.0,2.014705882352941
run_03,1500,97.0,204.0,2.1030927835051547
run_03,2000,138.0,261.0,1.891304347826087
run_03,2500,161.0,337.0,2.093167701863354
run_03,3000,217.0,421.0,1.9400921658986174
run_03,3500,232.0,489.0,2.1077586206896552
run_03,4000,248.0,532.0,2.1451612903225805
run_03,4500,288.0,598.0,2.076388888888889
run_03,5000,311.0,672.0,2.1607717041800645
run_04,500,41.0,55.0,1.3414634146341464
run_04,1000,62.0,124.0,2.0
run_04,1500,95.0,195.0,2.0526315789473686
run_04,2000,116.0,266.0,2.293103448275862
run_04,2500,144.0,307.0,2.1319444444444446
run_04,3000,172.0,378.0,2.197674418604651
run_04,3500,204.0,442.0,2.1666666666666665
run_04,4000,232.0,507.0,2.185344827586207
run_04,4500,263.0,556.0,2.1140684410646386
run_04,5000,275.0,633.0,2.3018181818181818
run_05,500,37.0,50.0,1.3513513513513513
run_05,1000,57.0,114.0,2.0
run_05,1500,82.0,169.0,2.0609756097560976
run_05,2000,105.0,223.0,2.123809523809524
run_05,2500,126.0,276.0,2.1904761904761907
run_05,3000,152.0,331.0,2.1776315789473686
run_05,3500,178.0,397.0,2.230337078651685
run_05,4000,204.0,446.0,2.1862745098039214
run_05,4500,231.0,496.0,2.1471861471861473
run_05,5000,254.0,560.0,2.204724409448819
run_06,500,37.0,49.0,1.3243243243243243
run_06,1000,57.0,117.0,2.0526315789473686
run_06,1500,82.0,201.0,2.451219512195122
run_06,2000,109.0,275.0,2.522935779816514
run_06,2500,133.0,342.0,2.5714285714285716
run_06,3000,163.0,413.0,2.5337423312883436
run_06,3500,186.0,484.0,2.6021505376344085
run_06,4000,213.0,549.0,2.5774647887323945
run_06,4500,243.0,632.0,2.60082304526749
run_06,5000,271.0,698.0,2.5756457564575648
run_07,500,36.0,51.0,1.4166666666666667
run_07,1000,56.0,116.0,2.0714285714285716
run_07,1500,83.0,174.0,2.0963855421686746
run_07,2000,108.0,229.0,2.1203703703703702
run_07,2500,131.0,286.0,2.183206106870229
run_07,3000,162.0,347.0,2.1419753086419755
run_07,3500,188.0,409.0,2.175531914893617
run_07,4000,214.0,466.0,2.177570093457944
run_07,4500,245.0,527.0,2.1510204081632653
run_07,5000,273.0,588.0,2.1538461538461537
run_08,500,36.0,49.0,1.3611111111111112
run_08,1000,54.0,109.0,2.0185185185185186
run_08,1500,78.0,164.0,2.1025641025641026
run_08,2000,103.0,218.0,2.116504854368932
run_08,2500,127.0,275.0,2.1653543307086616
run_08,3000,152.0,328.0,2.1578947368421053
run_08,3500,177.0,390.0,2.2033898305084745
run_08,4000,203.0,440.0,2.167487684729064
run_08,4500,229.0,499.0,2.1790393013100435
run_08,5000,255.0,556.0,2.180392156862745
run_09,500,36.0,50.0,1.3888888888888888
run_09,1000,57.0,117.0,2.0526315789473686
run_09,1500,82.0,170.0,2.073170731707317
run_09,2000,106.0,227.0,2.141509433962264
run_09,2500,133.0,284.0,2.1353383458646618
run_09,3000,162.0,342.0,2.111111111111111
run_09,3500,186.0,403.0,2.1666666666666665
run_09,4000,213.0,461.0,2.164319248826291
run_09,4500,243.0,522.0,2.1481481481481484
run_09,5000,272.0,581.0,2.136029411764706
run_10,500,35.0,49.0,1.4
run_10,1000,56.0,111.0,1.9821428571428572
run_10,1500,78.0,163.0,2.08974358974359
run_10,2000,101.0,215.0,2.128712871287129
run_10,2500,126.0,265.0,2.1031746031746033
run_10,3000,152.0,321.0,2.111842105263158
run_10,3500,176.0,381.0,2.164772727272727
run_10,4000,199.0,433.0,2.1758793969849246
run_10,4500,231.0,487.0,2.1082251082251084
run_10,5000,253.0,550.0,2.1739130434782608
