dataset_size,n,mean_speedup,std_speedup,median_speedup,min_speedup,max_speedup,ci95_speedup
500,10,1.3542989640212175,0.04647254614099806,1.3562312312312312,1.2553191489361701,1.4166666666666667,0.03324445681916252
1000,10,2.013529570231347,0.035436257230231534,2.0073529411764706,1.9710144927536233,2.0714285714285716,0.02534957133075789
1500,10,2.105030754807689,0.12715055163213487,2.0814571607254537,1.9813084112149533,2.451219512195122,0.09095802520572678
2000,10,2.1566974613589407,0.16048216029306975,2.122089947089947,1.891304347826087,2.522935779816514,0.11480202164783512
2500,10,2.1790272388474756,0.1420851585283384,2.1336413951545534,2.093167701863354,2.5714285714285716,0.10164159938661292
3000,10,2.1670389187375703,0.14703137194241156,2.149212715389186,1.9400921658986174,2.5337423312883436,0.10517990731068542
3500,10,2.2044838145548002,0.14535203801767743,2.1666666666666665,2.1025641025641026,2.6021505376344085,0.1039785841902263
4000,10,2.1947075319595752,0.14091079629934197,2.1716835408569946,2.0472727272727274,2.5774647887323945,0.10080151125601051
4500,10,2.183851050254442,0.14962059457298119,2.147667147667148,2.076388888888889,2.60082304526749,0.107032125600512
5000,10,2.212414224235792,0.13886946258265034,2.167342373829163,2.091168091168091,2.5756457564575648,0.09934122908442125
