metric,iterations,n,mean_pso,mean_dapso,mean_difference_pso_minus_dapso,paired_t_statistic,paired_t_pvalue,wilcoxon_statistic,wilcoxon_pvalue,cohen_dz,paired_t_pvalue_holm,wilcoxon_pvalue_holm
mse,10,10,509.2346853738503,409.47221091730586,99.76247445654444,5.897717757368402,0.00011486021890727492,55.0,0.0009765625,1.8650221110104452,0.0003453736069809326,0.009765625
mse,20,10,488.2692702754915,372.3285246019633,115.94074567352826,5.095836720093732,0.0003243955363902695,55.0,0.0009765625,1.6114450619818113,0.0003453736069809326,0.009765625
mse,30,10,468.8292572716552,351.6009490373775,117.22830823427776,7.574029796393613,1.7088765880982098e-05,55.0,0.0009765625,2.3951185222585183,8.544382940491049e-05,0.009765625
mse,40,10,492.1273339219163,329.8177688326282,162.30956508928801,8.283849047574696,8.367749487567526e-06,55.0,0.0009765625,2.619583078335257,5.020649692540516e-05,0.009765625
mse,50,10,469.51541474611577,317.0982238421413,152.41719090397447,5.813335330391617,0.00012758913641520872,55.0,0.0009765625,1.8383380446364974,0.0003453736069809326,0.009765625
mse,60,10,493.59602933358326,308.96144968194,184.63457965164318,10.242074931072155,1.4656206934988893e-06,55.0,0.0009765625,3.2388284748300076,1.1724965547991114e-05,0.009765625
mse,70,10,501.89956052426095,293.0555408883601,208.8440196359009,8.763417354139916,5.305657242432477e-06,55.0,0.0009765625,2.771235892572854,3.7139600697027335e-05,0.009765625
mse,80,10,472.40875034994633,287.83603447192456,184.57271587802182,12.056798378892196,3.6981199913621184e-07,55.0,0.0009765625,3.812694416672512,3.6981199913621184e-06,0.009765625
mse,90,10,439.33639653451655,284.84287329447363,154.49352324004295,6.13076806704506,8.634340174523315e-05,55.0,0.0009765625,1.9387190898090272,0.0003453736069809326,0.009765625
mse,100,10,472.6567285274906,279.852660331792,192.80406819569856,10.693665230037515,1.0210136299191468e-06,55.0,0.0009765625,3.3816338662266996,9.189122669272321e-06,0.009765625
