method,iterations,n,mean,std,median,minimum,maximum,cv,ci95
DAPSO,10,10,409.4722109173059,40.35920243225134,422.8299749398807,336.13875831154985,463.331358156623,0.09856395954645623,28.87123417864884
DAPSO,20,10,372.3285246019633,34.63646028214512,371.0725315071386,293.1362913154953,412.2589425732597,0.09302660954911561,24.777431060584483
DAPSO,30,10,351.6009490373775,36.421656911053105,356.8156017979259,281.67615313805044,392.6326836975067,0.103588050631744,26.05448379755707
DAPSO,40,10,329.8177688326282,31.447042743212407,332.7268577614053,280.9432135507461,375.10797753691867,0.09534672087109643,22.495859198142703
DAPSO,50,10,317.09822384214135,32.13613694293635,317.13764742192063,270.7723576868831,362.1063572577713,0.10134442430347528,22.9888074927671
DAPSO,60,10,308.96144968194,28.72247503916474,313.3945748185517,260.27966937323856,341.37328673326556,0.09296459175969383,20.546820875316865
DAPSO,70,10,293.05554088836004,22.19920559684932,292.8132373502516,253.70871499341345,325.0488231202633,0.07575084753407253,15.880355030367157
DAPSO,80,10,287.83603447192456,21.38441019181835,287.9554234748053,250.99023771744132,322.8121006598623,0.07429372153160406,15.297485510439822
DAPSO,90,10,284.84287329447363,20.462982953398676,284.61640920788,250.07369934450975,318.34708509952856,0.07183954689378458,14.638336172103497
DAPSO,100,10,279.852660331792,19.423509697918504,277.44000450967576,249.62009981269765,314.00468784875176,0.06940619994424953,13.894741800242764
PSO,10,10,509.2346853738503,54.7940000556425,513.1102073194928,409.8116729388385,587.3442431504939,0.10760068320054819,39.19726634456949
PSO,20,10,488.2692702754915,60.350595893706775,496.2537211408246,373.9205964793549,563.8200597384816,0.12360105287735133,43.17221555091608
PSO,30,10,468.8292572716553,42.13236060445146,466.69643539926074,404.91711715299783,538.8903284876368,0.08986717435178873,30.139675122478447
PSO,40,10,492.1273339219162,53.821396767025895,500.3929838746492,394.3091325692624,557.022065376864,0.10936477829448407,38.50150786530543
PSO,50,10,469.51541474611577,73.96876955818088,495.2327000677813,345.4364346044978,540.2985067079028,0.15754279249421133,52.91407012825909
PSO,60,10,493.5960293335832,43.940858507299566,501.77938025337994,385.7134214498421,540.3807312355244,0.0890219043427583,31.43339658668159
PSO,70,10,501.89956052426095,64.15311046635462,514.9575204289353,385.7134214498421,591.9084840219177,0.12782061494404032,45.89237061044501
PSO,80,10,472.40875034994644,40.76265079867784,479.19444376889226,385.7134214498421,519.4627498856822,0.08628682421416214,29.159843753767326
PSO,90,10,439.33639653451667,77.19442550793758,459.4819328459464,302.5023965737189,543.9658887369253,0.17570687545317626,55.221565388144555
PSO,100,10,472.6567285274905,43.193750006961714,472.504091984506,385.7134214498421,530.7684959692142,0.0913850314614732,30.898947361469023
