run,method,iterations,runtime_s,mse
run_01,DAPSO,10,26.0,439.94351342962887
run_01,PSO,10,47.0,471.1210035509079
run_01,DAPSO,20,50.0,404.15755523408745
run_01,PSO,20,105.0,447.3809159517917
run_01,DAPSO,30,72.0,392.6326836975067
run_01,PSO,30,168.0,447.3809159517917
run_01,DAPSO,40,96.0,365.0484401557928
run_01,PSO,40,220.0,394.3091325692624
run_01,DAPSO,50,124.0,357.2248854872776
run_01,PSO,50,277.0,394.3091325692624
run_01,DAPSO,60,152.0,331.84412002831016
run_01,PSO,60,343.0,385.7134214498421
run_01,DAPSO,70,187.0,325.0488231202633
run_01,PSO,70,407.0,385.7134214498421
run_01,DAPSO,80,285.0,322.8121006598623
run_01,PSO,80,509.0,385.7134214498421
run_01,DAPSO,90,242.0,318.34708509952856
run_01,PSO,90,587.0,385.7134214498421
run_01,DAPSO,100,249.0,314.00468784875176
run_01,PSO,100,549.0,385.7134214498421
run_02,DAPSO,10,29.0,362.1786303138025
run_02,PSO,10,52.0,520.4279484220162
run_02,DAPSO,20,50.0,362.1786303138025
run_02,PSO,20,109.0,511.6553148483825
run_02,DAPSO,30,72.0,321.5678765256313
run_02,PSO,30,161.0,404.91711715299783
run_02,DAPSO,40,96.0,320.29387343547114
run_02,PSO,40,212.0,498.56255326227244
run_02,DAPSO,50,122.0,300.77396143037817
run_02,PSO,50,268.0,345.4364346044978
run_02,DAPSO,60,145.0,298.50416593930805
run_02,PSO,60,315.0,523.9360950675859
run_02,DAPSO,70,168.0,298.56225428468724
run_02,PSO,70,372.0,591.9084840219177
run_02,DAPSO,80,193.0,296.4009769345952
run_02,PSO,80,423.0,519.4627498856822
run_02,DAPSO,90,217.0,293.6295776358069
run_02,PSO,90,474.0,302.5023965737189
run_02,DAPSO,100,239.0,284.8391758464442
run_02,PSO,100,533.0,505.8775726990878
run_03,DAPSO,10,29.0,463.331358156623
run_03,PSO,10,52.0,524.3544075038641
run_03,DAPSO,20,50.0,363.7426333949656
run_03,PSO,20,110.0,563.8200597384816
run_03,DAPSO,30,73.0,317.6703088568644
run_03,PSO,30,163.0,466.3525755511657
run_03,DAPSO,40,96.0,299.73606683796635
run_03,PSO,40,217.0,557.022065376864
run_03,DAPSO,50,123.0,293.6763305557966
run_03,PSO,50,272.0,477.60519566437813
run_03,DAPSO,60,144.0,292.0295791351405
run_03,PSO,60,321.0,481.0313929281951
run_03,DAPSO,70,167.0,288.8124989541214
run_03,PSO,70,374.0,557.2894286439384
run_03,DAPSO,80,201.0,286.0510564023772
run_03,PSO,80,442.0,500.9653196094772
run_03,DAPSO,90,223.0,284.20013703745093
run_03,PSO,90,480.0,543.9658887369253
run_03,DAPSO,100,242.0,281.08447408403606
run_03,PSO,100,516.0,468.9826841453588
run_04,DAPSO,10,27.0,378.40242961931153
run_04,PSO,10,49.0,480.87856669881995
run_04,DAPSO,20,46.0,378.40242961931153
run_04,PSO,20,99.0,442.06255950991454
run_04,DAPSO,30,71.0,378.40242961931153
run_04,PSO,30,146.0,467.0402952473557
run_04,DAPSO,40,94.0,348.4892529324291
run_04,PSO,40,198.0,533.6460812702009
run_04,DAPSO,50,119.0,335.8193081272711
run_04,PSO,50,264.0,539.4695951530944
run_04,DAPSO,60,136.0,329.07664754592093
run_04,PSO,60,300.0,510.2074604308887
run_04,DAPSO,70,160.0,285.5006981071878
run_04,PSO,70,406.0,530.0209023797934
run_04,DAPSO,80,189.0,268.4275237630105
run_04,PSO,80,395.0,442.9677031416193
run_04,DAPSO,90,213.0,264.5568141446451
run_04,PSO,90,476.0,362.0941256823795
run_04,DAPSO,100,243.0,264.089764157128
run_04,PSO,100,525.0,491.9093523573068
run_05,DAPSO,10,28.0,439.52272463968825
run_05,PSO,10,56.0,505.79246621696944
run_05,DAPSO,20,50.0,398.5033883714736
run_05,PSO,20,105.0,547.3281957236551
run_05,DAPSO,30,70.0,381.13423635603226
run_05,PSO,30,159.0,442.3308835286956
run_05,DAPSO,40,102.0,345.15984208733954
run_05,PSO,40,203.0,476.1800939443782
run_05,DAPSO,50,110.0,323.05492226147743
run_05,PSO,50,236.0,370.25840054130754
run_05,DAPSO,60,131.0,317.700742504616
run_05,PSO,60,280.0,493.35130007587117
run_05,DAPSO,70,152.0,307.0592926823556
run_05,PSO,70,326.0,528.3200339174216
run_05,DAPSO,80,175.0,304.1731961886731
run_05,PSO,80,369.0,475.40590217258915
run_05,DAPSO,90,194.0,295.7553687193696
run_05,PSO,90,413.0,461.927101993471
run_05,DAPSO,100,228.0,273.7955349353154
run_05,PSO,100,466.0,441.72400269815114
run_06,DAPSO,10,29.0,436.1494749646362
run_06,PSO,10,52.0,574.3984976888745
run_06,DAPSO,20,52.0,412.2589425732597
run_06,PSO,20,106.0,480.8521274332668
run_06,DAPSO,30,70.0,389.29006852672444
run_06,PSO,30,154.0,497.76303162320636
run_06,DAPSO,40,91.0,375.10797753691867
run_06,PSO,40,196.0,535.9793490919635
run_06,DAPSO,50,114.0,362.1063572577713
run_06,PSO,50,245.0,535.0522794892588
run_06,DAPSO,60,137.0,341.37328673326556
run_06,PSO,60,292.0,540.3807312355244
run_06,DAPSO,70,160.0,322.3212528961361
run_06,PSO,70,342.0,495.38790312128094
run_06,DAPSO,80,183.0,307.6123781518242
run_06,PSO,80,391.0,518.8641104410674
run_06,DAPSO,90,206.0,307.60129044751227
run_06,PSO,90,440.0,457.0367636984218
run_06,DAPSO,100,237.0,307.3719621657431
run_06,PSO,100,491.0,462.4278743878643
run_07,DAPSO,10,29.0,426.0418340634157
run_07,PSO,10,54.0,554.7521137755283
run_07,DAPSO,20,51.0,360.7380073742081
run_07,PSO,20,109.0,373.9205964793549
run_07,DAPSO,30,75.0,349.3118220206139
run_07,PSO,30,159.0,527.2269684713386
run_07,DAPSO,40,99.0,295.55382232528405
run_07,PSO,40,213.0,421.9008439718144
run_07,DAPSO,50,124.0,275.6284355540821
run_07,PSO,50,264.0,516.0287232629815
run_07,DAPSO,60,147.0,269.0117016350745
run_07,PSO,60,320.0,519.4241364153787
run_07,DAPSO,70,172.0,268.1735422516419
run_07,PSO,70,373.0,501.5950069404489
run_07,DAPSO,80,198.0,267.6510963550154
run_07,PSO,80,421.0,493.21834397678606
run_07,DAPSO,90,225.0,267.4819136066873
run_07,PSO,90,476.0,466.6714253620381
run_07,DAPSO,100,251.0,267.3081536415089
run_07,PSO,100,535.0,521.1654154893861
run_08,DAPSO,10,28.0,419.61811581634566
run_08,PSO,10,53.0,463.4659337921904
run_08,DAPSO,20,48.0,395.9397208314057
run_08,PSO,20,103.0,536.7718748528783
run_08,DAPSO,30,70.0,364.31938157523797
run_08,PSO,30,153.0,467.0684259077728
run_08,DAPSO,40,94.0,348.6159469158523
run_08,PSO,40,203.0,540.5174825075262
run_08,DAPSO,50,115.0,340.7053074781123
run_08,PSO,50,252.0,512.8602044711845
run_08,DAPSO,60,140.0,340.7061767920383
run_08,PSO,60,302.0,469.9276063677208
run_08,DAPSO,70,165.0,284.55435584741224
run_08,PSO,70,361.0,419.6287679121618
run_08,DAPSO,80,189.0,284.38198799921304
run_08,PSO,80,404.0,482.9829853651954
run_08,DAPSO,90,212.0,281.7501655309172
run_08,PSO,90,450.0,480.0718155701653
run_08,DAPSO,100,235.0,271.74694950100195
run_08,PSO,100,503.0,530.7684959692142
run_09,DAPSO,10,28.0,393.3952698580571
run_09,PSO,10,50.0,587.3442431504939
run_09,DAPSO,20,49.0,354.2276469916235
run_09,PSO,20,107.0,446.1832202219299
run_09,DAPSO,30,72.0,340.00453005780224
run_09,PSO,30,157.0,538.8903284876368
run_09,DAPSO,40,96.0,319.229252548482
run_09,PSO,40,208.0,460.9323227378546
run_09,DAPSO,50,119.0,311.22037258236384
run_09,PSO,50,260.0,463.8356749972902
run_09,DAPSO,60,144.0,309.08840713248736
run_09,PSO,60,311.0,524.1686224217638
run_09,DAPSO,70,169.0,296.81397574638174
run_09,PSO,70,366.0,459.5231568439057
run_09,DAPSO,80,192.0,289.8597905472334
run_09,PSO,80,415.0,449.2933411019364
run_09,DAPSO,90,219.0,285.0326813783091
run_09,PSO,90,464.0,538.7718262238974
run_09,DAPSO,100,242.0,284.66580132529265
run_09,PSO,100,526.0,441.97296625504083
run_10,DAPSO,10,26.0,336.13875831154985
run_10,PSO,10,49.0,409.8116729388385
run_10,DAPSO,20,45.0,293.1362913154953
run_10,PSO,20,96.0,532.7178379952601
run_10,DAPSO,30,66.0,281.67615313805044
run_10,PSO,30,141.0,429.3220307945915
run_10,DAPSO,40,88.0,280.9432135507461
run_10,PSO,40,188.0,502.2234144870259
run_10,DAPSO,50,109.0,270.7723576868831
run_10,PSO,50,233.0,540.2985067079028
run_10,DAPSO,60,131.0,260.27966937323856
run_10,PSO,60,280.0,487.81952694306125
run_10,DAPSO,70,150.0,253.70871499341345
run_10,PSO,70,327.0,549.608500011899
run_10,DAPSO,80,174.0,250.99023771744132
run_10,PSO,80,368.0,455.21362635526845
run_10,DAPSO,90,197.0,250.07369934450975
run_10,PSO,90,416.0,394.6092000543066
run_10,DAPSO,100,217.0,249.62009981269765
run_10,PSO,100,462.0,476.0254998236532
