method,iterations,n,mean,std,median,minimum,maximum,cv,ci95
DAPSO,10,10,27.9,1.1972189997378646,28.0,26.0,29.0,0.04291107525942167,0.8564388794001122
DAPSO,20,10,49.1,2.183269719175042,50.0,45.0,52.0,0.0444657783946037,1.5618170711689991
DAPSO,30,10,71.1,2.378141197564927,71.5,66.0,75.0,0.033447836815259174,1.7012197290083926
DAPSO,40,10,95.2,3.8815804341359037,96.0,88.0,102.0,0.04077290371991495,2.7767153695695015
DAPSO,50,10,117.9,5.626327003965864,119.0,109.0,124.0,0.04772117899886229,4.02483187743443
DAPSO,60,10,140.7,6.929005059249923,142.0,131.0,152.0,0.04924665998045433,4.956711620514749
DAPSO,70,10,165.0,10.572501018102471,166.0,150.0,187.0,0.06407576374607558,7.563111616490202
DAPSO,80,10,197.9,31.851914297957734,190.5,174.0,285.0,0.1609495416774014,22.78548686085354
DAPSO,90,10,214.8,14.03012631605448,215.0,194.0,242.0,0.06531716162036535,10.036547751576492
DAPSO,100,10,238.3,9.98943886756853,240.5,217.0,251.0,0.04191959239432871,7.146014080506191
PSO,10,10,51.4,2.6749870196985164,52.0,47.0,56.0,0.05204254902137192,1.9135704378748235
PSO,20,10,104.9,4.508017549014446,105.5,96.0,110.0,0.042974428493941334,3.2248414858428727
PSO,30,10,156.1,7.992357460585566,158.0,141.0,168.0,0.05120023997812663,5.717388104271449
PSO,40,10,205.8,10.064238117656439,205.5,188.0,220.0,0.048903003487154706,7.199522240616652
PSO,50,10,257.1,15.051393438630335,262.0,233.0,277.0,0.05854295386476209,10.767118240533446
PSO,60,10,306.4,19.704483415371907,306.5,280.0,343.0,0.06430967172118769,14.095738289414221
PSO,70,10,365.4,28.182737032919054,369.0,326.0,407.0,0.07712845383940628,20.160715565143946
PSO,80,10,413.7,40.92011187124927,409.5,368.0,509.0,0.09891252567379567,29.272484619449997
PSO,90,10,467.6,48.67168923854331,469.0,413.0,587.0,0.10408830033905754,34.81762902116945
PSO,100,10,510.6,29.511579648221677,520.5,462.0,549.0,0.05779784498280782,21.111312306924773
