run,iterations,DAPSO,PSO,speedup
run_01,10,26.0,47.0,1.8076923076923077
run_01,20,50.0,105.0,2.1
run_01,30,72.0,168.0,2.3333333333333335
run_01,40,96.0,220.0,2.2916666666666665
run_01,50,124.0,277.0,2.2338709677419355
run_01,60,152.0,343.0,2.2565789473684212
run_01,70,187.0,407.0,2.176470588235294
run_01,80,285.0,509.0,1.7859649122807018
run_01,90,242.0,587.0,2.425619834710744
run_01,100,249.0,549.0,2.2048192771084336
run_02,10,29.0,52.0,1.793103448275862
run_02,20,50.0,109.0,2.18
run_02,30,72.0,161.0,2.236111111111111
run_02,40,96.0,212.0,2.2083333333333335
run_02,50,122.0,268.0,2.19672131147541
run_02,60,145.0,315.0,2.1724137931034484
run_02,70,168.0,372.0,2.2142857142857144
run_02,80,193.0,423.0,2.1917098445595853
run_02,90,217.0,474.0,2.184331797235023
run_02,100,239.0,533.0,2.2301255230125525
run_03,10,29.0,52.0,1.793103448275862
run_03,20,50.0,110.0,2.2
run_03,30,73.0,163.0,2.232876712328767
run_03,40,96.0,217.0,2.2604166666666665
run_03,50,123.0,272.0,2.2113821138211383
run_03,60,144.0,321.0,2.2291666666666665
run_03,70,167.0,374.0,2.2395209580838324
run_03,80,201.0,442.0,2.199004975124378
run_03,90,223.0,480.0,2.1524663677130045
run_03,100,242.0,516.0,2.1322314049586777
run_04,10,27.0,49.0,1.8148148148148149
run_04,20,46.0,99.0,2.152173913043478
run_04,30,71.0,146.0,2.056338028169014
run_04,40,94.0,198.0,2.106382978723404
run_04,50,119.0,264.0,2.2184873949579833
run_04,60,136.0,300.0,2.2058823529411766
run_04,70,160.0,406.0,2.5375
run_04,80,189.0,395.0,2.0899470899470898
run_04,90,213.0,476.0,2.2347417840375585
run_04,100,243.0,525.0,2.1604938271604937
run_05,10,28.0,56.0,2.0
run_05,20,50.0,105.0,2.1
run_05,30,70.0,159.0,2.2714285714285714
run_05,40,102.0,203.0,1.9901960784313726
run_05,50,110.0,236.0,2.1454545454545455
run_05,60,131.0,280.0,2.1374045801526718
run_05,70,152.0,326.0,2.1447368421052633
run_05,80,175.0,369.0,2.1085714285714285
run_05,90,194.0,413.0,2.1288659793814433
run_05,100,228.0,466.0,2.043859649122807
run_06,10,29.0,52.0,1.793103448275862
run_06,20,52.0,106.0,2.0384615384615383
run_06,30,70.0,154.0,2.2
run_06,40,91.0,196.0,2.1538461538461537
run_06,50,114.0,245.0,2.1491228070175437
run_06,60,137.0,292.0,2.1313868613138687
run_06,70,160.0,342.0,2.1375
run_06,80,183.0,391.0,2.1366120218579234
run_06,90,206.0,440.0,2.1359223300970873
run_06,100,237.0,491.0,2.071729957805907
run_07,10,29.0,54.0,1.8620689655172413
run_07,20,51.0,109.0,2.1372549019607843
run_07,30,75.0,159.0,2.12
run_07,40,99.0,213.0,2.1515151515151514
run_07,50,124.0,264.0,2.129032258064516
run_07,60,147.0,320.0,2.17687074829932
run_07,70,172.0,373.0,2.1686046511627906
run_07,80,198.0,421.0,2.1262626262626263
run_07,90,225.0,476.0,2.1155555555555554
run_07,100,251.0,535.0,2.1314741035856573
run_08,10,28.0,53.0,1.8928571428571428
run_08,20,48.0,103.0,2.1458333333333335
run_08,30,70.0,153.0,2.1857142857142855
run_08,40,94.0,203.0,2.1595744680851063
run_08,50,115.0,252.0,2.1913043478260867
run_08,60,140.0,302.0,2.157142857142857
run_08,70,165.0,361.0,2.187878787878788
run_08,80,189.0,404.0,2.1375661375661377
run_08,90,212.0,450.0,2.1226415094339623
run_08,100,235.0,503.0,2.1404255319148935
run_09,10,28.0,50.0,1.7857142857142858
run_09,20,49.0,107.0,2.183673469387755
run_09,30,72.0,157.0,2.1805555555555554
run_09,40,96.0,208.0,2.1666666666666665
run_09,50,119.0,260.0,2.1848739495798317
run_09,60,144.0,311.0,2.1597222222222223
run_09,70,169.0,366.0,2.165680473372781
run_09,80,192.0,415.0,2.1614583333333335
run_09,90,219.0,464.0,2.1187214611872145
run_09,100,242.0,526.0,2.1735537190082646
run_10,10,26.0,49.0,1.8846153846153846
run_10,20,45.0,96.0,2.1333333333333333
run_10,30,66.0,141.0,2.1363636363636362
run_10,40,88.0,188.0,2.1363636363636362
run_10,50,109.0,233.0,2.1376146788990824
run_10,60,131.0,280.0,2.1374045801526718
run_10,70,150.0,327.0,2.18
run_10,80,174.0,368.0,2.1149425287356323
run_10,90,197.0,416.0,2.1116751269035534
run_10,100,217.0,462.0,2.129032258064516
